defect_type_0edge_1node,f,epsilon,m_psi,mean_k
0.000000000000000000e+00,5.999999999999999778e-01,8.000000000000000167e-02,9.959328333333333783e-01,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,1.199999999999999956e-01,9.956908333333333028e-01,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,1.600000000000000033e-01,9.951833333333333087e-01,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,2.000000000000000111e-01,9.946431666666667448e-01,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,2.399999999999999911e-01,9.939514999999999878e-01,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,2.800000000000000266e-01,9.929385000000000572e-01,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,3.200000000000000067e-01,9.915873333333333761e-01,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,3.599999999999999867e-01,9.896284999999999110e-01,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,4.000000000000000222e-01,9.866143333333333709e-01,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,4.400000000000000022e-01,9.810839999999999561e-01,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,4.799999999999999822e-01,1.007965499999999813e-02,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,5.200000000000000178e-01,7.244459999999998574e-03,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,5.600000000000000533e-01,5.167668333333334287e-03,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01,2.906601999999999884e-03,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,6.400000000000000133e-01,3.287594833333332914e-03,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,6.800000000000000488e-01,2.188669999999999765e-03,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,7.199999999999999734e-01,1.792029166666666900e-03,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,7.600000000000000089e-01,1.308443166666666642e-03,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,8.000000000000000444e-01,2.397025000000000110e-03,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,8.399999999999999689e-01,1.747159499999999819e-03,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,8.800000000000000044e-01,1.223228833333333361e-03,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,9.200000000000000400e-01,1.488396666666666869e-03,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,9.599999999999999645e-01,1.834543333333333269e-03,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,1.000000000000000000e+00,2.081439333333333190e-03,8.018000000000000682e+00
0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,9.263379999999998837e-01,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,4.000000000000000083e-02,9.253786666666666827e-01,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,8.000000000000000167e-02,9.225151666666665529e-01,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.199999999999999956e-01,9.167628333333333046e-01,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.600000000000000033e-01,9.061629999999999407e-01,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,2.000000000000000111e-01,8.834134999999999627e-01,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,2.399999999999999911e-01,2.227253333333333307e-01,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,2.800000000000000266e-01,2.892817833333333200e-02,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,3.200000000000000067e-01,1.566598333333333107e-02,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,3.599999999999999867e-01,1.245049500000000066e-02,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,4.000000000000000222e-01,6.326464999999999866e-03,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,4.400000000000000022e-01,5.619456666666667287e-03,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,4.799999999999999822e-01,5.198653333333333286e-03,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,5.200000000000000178e-01,2.977576666666666757e-03,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,5.600000000000000533e-01,2.736508166666666922e-03,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,5.999999999999999778e-01,2.194875000000000211e-03,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,6.400000000000000133e-01,2.164137833333333334e-03,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,6.800000000000000488e-01,1.676253166666666740e-03,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,7.199999999999999734e-01,2.243528833333333170e-03,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,7.600000000000000089e-01,2.106783333333333251e-03,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,8.000000000000000444e-01,1.912516666666666705e-03,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,8.399999999999999689e-01,1.993687500000000234e-03,4.093274128258411082e+00
