T,N,degree,epsilon,m_psi
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,7.000000000000000666e-01,3.890259999999999985e-04
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,7.500000000000000000e-01,1.177370000000000066e-03
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,8.000000000000000444e-01,2.235220000000000002e-03
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,8.500000000000000888e-01,3.917910000000000034e-04
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,9.000000000000000222e-01,3.947599999999999894e-03
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,9.500000000000000666e-01,1.077140000000000085e-03
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,1.000000000000000000e+00,9.363060000000000306e-04
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00,9.996800000000000130e-01
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,5.000000000000000278e-02,9.996890000000000498e-01
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,1.000000000000000056e-01,9.996549999999999603e-01
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,1.500000000000000222e-01,9.996359999999999690e-01
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,2.000000000000000111e-01,9.995699999999999585e-01
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,2.500000000000000000e-01,9.995209999999999928e-01
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,3.000000000000000444e-01,9.993929999999999758e-01
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,3.500000000000000333e-01,9.992450000000000498e-01
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,4.000000000000000222e-01,9.989449999999999719e-01
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,4.500000000000000111e-01,9.986319999999999641e-01
