degree,epsilon,m_psi
1.800000000000000000e+01,9.200000000000000400e-01,3.631860000000000210e-03
1.800000000000000000e+01,9.599999999999999645e-01,4.515579999999999941e-03
1.800000000000000000e+01,1.000000000000000000e+00,1.866299999999999990e-03
2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,4.000000000000000083e-02,1.000000000000000000e+00
2.000000000000000000e+01,8.000000000000000167e-02,1.000000000000000000e+00
2.000000000000000000e+01,1.199999999999999956e-01,1.000000000000000000e+00
2.000000000000000000e+01,1.600000000000000033e-01,1.000000000000000000e+00
2.000000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
2.000000000000000000e+01,2.399999999999999911e-01,1.000000000000000000e+00
2.000000000000000000e+01,2.800000000000000266e-01,9.999930000000000208e-01
2.000000000000000000e+01,3.200000000000000067e-01,9.999930000000000208e-01
2.000000000000000000e+01,3.599999999999999867e-01,9.999930000000000208e-01
2.000000000000000000e+01,4.000000000000000222e-01,9.999529999999999808e-01
2.000000000000000000e+01,4.400000000000000022e-01,9.999099999999999655e-01
2.000000000000000000e+01,4.799999999999999822e-01,9.998460000000000125e-01
2.000000000000000000e+01,5.200000000000000178e-01,9.997890000000000388e-01
2.000000000000000000e+01,5.600000000000000533e-01,9.994480000000000031e-01
2.000000000000000000e+01,5.999999999999999778e-01,9.990630000000000344e-01
2.000000000000000000e+01,6.400000000000000133e-01,7.190379999999999688e-03
2.000000000000000000e+01,6.800000000000000488e-01,3.190919999999999868e-03
2.000000000000000000e+01,7.199999999999999734e-01,9.988410000000000951e-04
2.000000000000000000e+01,7.600000000000000089e-01,3.577170000000000176e-03
2.000000000000000000e+01,8.000000000000000444e-01,1.045979999999999957e-03
2.000000000000000000e+01,8.399999999999999689e-01,1.360400000000000107e-03
2.000000000000000000e+01,8.800000000000000044e-01,1.835639999999999928e-03
2.000000000000000000e+01,9.200000000000000400e-01,2.082220000000000078e-03
2.000000000000000000e+01,9.599999999999999645e-01,5.786259999999999667e-03
2.000000000000000000e+01,1.000000000000000000e+00,1.612640000000000037e-03
2.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.200000000000000000e+01,4.000000000000000083e-02,1.000000000000000000e+00
2.200000000000000000e+01,8.000000000000000167e-02,1.000000000000000000e+00
2.200000000000000000e+01,1.199999999999999956e-01,1.000000000000000000e+00
2.200000000000000000e+01,1.600000000000000033e-01,1.000000000000000000e+00
2.200000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
2.200000000000000000e+01,2.399999999999999911e-01,1.000000000000000000e+00
2.200000000000000000e+01,2.800000000000000266e-01,9.999970000000000248e-01
2.200000000000000000e+01,3.200000000000000067e-01,9.999970000000000248e-01
2.200000000000000000e+01,3.599999999999999867e-01,9.999900000000000455e-01
2.200000000000000000e+01,4.000000000000000222e-01,9.999799999999999800e-01
2.200000000000000000e+01,4.400000000000000022e-01,9.999700000000000255e-01
2.200000000000000000e+01,4.799999999999999822e-01,9.998899999999999455e-01
2.200000000000000000e+01,5.200000000000000178e-01,9.998690000000000078e-01
2.200000000000000000e+01,5.600000000000000533e-01,9.997589999999999533e-01
2.200000000000000000e+01,5.999999999999999778e-01,9.995610000000000328e-01
2.200000000000000000e+01,6.400000000000000133e-01,1.049770000000000043e-02
2.200000000000000000e+01,6.800000000000000488e-01,1.108370000000000015e-02
2.200000000000000000e+01,7.199999999999999734e-01,8.219960000000000114e-03
2.200000000000000000e+01,7.600000000000000089e-01,6.056749999999999634e-03
2.200000000000000000e+01,8.000000000000000444e-01,3.714779999999999992e-03
2.200000000000000000e+01,8.399999999999999689e-01,1.313719999999999992e-03
2.200000000000000000e+01,8.800000000000000044e-01,2.977370000000000017e-03
2.200000000000000000e+01,9.200000000000000400e-01,5.457899999999999904e-03
2.200000000000000000e+01,9.599999999999999645e-01,2.779709999999999907e-03
2.200000000000000000e+01,1.000000000000000000e+00,3.557639999999999934e-03
2.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.400000000000000000e+01,4.000000000000000083e-02,1.000000000000000000e+00
2.400000000000000000e+01,8.000000000000000167e-02,1.000000000000000000e+00
2.400000000000000000e+01,1.199999999999999956e-01,1.000000000000000000e+00
2.400000000000000000e+01,1.600000000000000033e-01,1.000000000000000000e+00
2.400000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
2.400000000000000000e+01,2.399999999999999911e-01,1.000000000000000000e+00
2.400000000000000000e+01,2.800000000000000266e-01,1.000000000000000000e+00
2.400000000000000000e+01,3.200000000000000067e-01,1.000000000000000000e+00
2.400000000000000000e+01,3.599999999999999867e-01,1.000000000000000000e+00
2.400000000000000000e+01,4.000000000000000222e-01,9.999970000000000248e-01
2.400000000000000000e+01,4.400000000000000022e-01,9.999970000000000248e-01
2.400000000000000000e+01,4.799999999999999822e-01,9.999799999999999800e-01
