degree,epsilon,m_psi
2.200000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
2.200000000000000000e+01,2.399999999999999911e-01,1.000000000000000000e+00
2.200000000000000000e+01,2.800000000000000266e-01,1.000000000000000000e+00
2.200000000000000000e+01,3.200000000000000067e-01,1.000000000000000000e+00
2.200000000000000000e+01,3.599999999999999867e-01,1.000000000000000000e+00
2.200000000000000000e+01,4.000000000000000222e-01,1.000000000000000000e+00
2.200000000000000000e+01,4.400000000000000022e-01,1.000000000000000000e+00
2.200000000000000000e+01,4.799999999999999822e-01,1.000000000000000000e+00
2.200000000000000000e+01,5.200000000000000178e-01,9.999700000000000255e-01
2.200000000000000000e+01,5.600000000000000533e-01,9.999700000000000255e-01
2.200000000000000000e+01,5.999999999999999778e-01,9.999700000000000255e-01
2.200000000000000000e+01,6.400000000000000133e-01,1.590460000000000138e-02
2.200000000000000000e+01,6.800000000000000488e-01,8.006499999999999728e-03
2.200000000000000000e+01,7.199999999999999734e-01,2.424439999999999928e-03
2.200000000000000000e+01,7.600000000000000089e-01,2.795979999999999993e-03
2.200000000000000000e+01,8.000000000000000444e-01,3.299649999999999892e-03
2.200000000000000000e+01,8.399999999999999689e-01,2.035959999999999853e-03
2.200000000000000000e+01,8.800000000000000044e-01,4.191920000000000021e-03
2.200000000000000000e+01,9.200000000000000400e-01,2.634200000000000170e-03
2.200000000000000000e+01,9.599999999999999645e-01,1.559590000000000021e-03
2.200000000000000000e+01,1.000000000000000000e+00,1.495419999999999909e-03
2.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.400000000000000000e+01,4.000000000000000083e-02,1.000000000000000000e+00
2.400000000000000000e+01,8.000000000000000167e-02,1.000000000000000000e+00
2.400000000000000000e+01,1.199999999999999956e-01,1.000000000000000000e+00
2.400000000000000000e+01,1.600000000000000033e-01,1.000000000000000000e+00
2.400000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
2.400000000000000000e+01,2.399999999999999911e-01,1.000000000000000000e+00
2.400000000000000000e+01,2.800000000000000266e-01,1.000000000000000000e+00
2.400000000000000000e+01,3.200000000000000067e-01,1.000000000000000000e+00
2.400000000000000000e+01,3.599999999999999867e-01,1.000000000000000000e+00
2.400000000000000000e+01,4.000000000000000222e-01,1.000000000000000000e+00
2.400000000000000000e+01,4.400000000000000022e-01,9.999930000000000208e-01
2.400000000000000000e+01,4.799999999999999822e-01,9.999930000000000208e-01
2.400000000000000000e+01,5.200000000000000178e-01,9.999930000000000208e-01
2.400000000000000000e+01,5.600000000000000533e-01,9.999930000000000208e-01
2.400000000000000000e+01,5.999999999999999778e-01,9.999700000000000255e-01
2.400000000000000000e+01,6.400000000000000133e-01,9.999559999999999560e-01
2.400000000000000000e+01,6.800000000000000488e-01,4.161080000000000161e-03
2.400000000000000000e+01,7.199999999999999734e-01,4.038570000000000007e-03
2.400000000000000000e+01,7.600000000000000089e-01,2.206000000000000062e-03
2.400000000000000000e+01,8.000000000000000444e-01,1.718789999999999988e-03
2.400000000000000000e+01,8.399999999999999689e-01,1.936549999999999990e-03
2.400000000000000000e+01,8.800000000000000044e-01,1.981950000000000118e-03
2.400000000000000000e+01,9.200000000000000400e-01,2.268060000000000128e-03
2.400000000000000000e+01,9.599999999999999645e-01,2.319460000000000185e-03
2.400000000000000000e+01,1.000000000000000000e+00,3.226319999999999969e-03
2.600000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.600000000000000000e+01,4.000000000000000083e-02,1.000000000000000000e+00
2.600000000000000000e+01,8.000000000000000167e-02,1.000000000000000000e+00
2.600000000000000000e+01,1.199999999999999956e-01,1.000000000000000000e+00
2.600000000000000000e+01,1.600000000000000033e-01,1.000000000000000000e+00
2.600000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
2.600000000000000000e+01,2.399999999999999911e-01,1.000000000000000000e+00
2.600000000000000000e+01,2.800000000000000266e-01,1.000000000000000000e+00
2.600000000000000000e+01,3.200000000000000067e-01,1.000000000000000000e+00
2.600000000000000000e+01,3.599999999999999867e-01,1.000000000000000000e+00
2.600000000000000000e+01,4.000000000000000222e-01,9.999970000000000248e-01
2.600000000000000000e+01,4.400000000000000022e-01,9.999970000000000248e-01
2.600000000000000000e+01,4.799999999999999822e-01,9.999970000000000248e-01
2.600000000000000000e+01,5.200000000000000178e-01,9.999970000000000248e-01
2.600000000000000000e+01,5.600000000000000533e-01,9.999970000000000248e-01
2.600000000000000000e+01,5.999999999999999778e-01,9.999829999999999552e-01
2.600000000000000000e+01,6.400000000000000133e-01,9.999799999999999800e-01
2.600000000000000000e+01,6.800000000000000488e-01,5.069279999999999793e-03
2.600000000000000000e+01,7.199999999999999734e-01,2.688530000000000173e-03
2.600000000000000000e+01,7.600000000000000089e-01,2.947330000000000175e-03
2.600000000000000000e+01,8.000000000000000444e-01,6.161969999999999687e-04
2.600000000000000000e+01,8.399999999999999689e-01,1.891300000000000056e-03
2.600000000000000000e+01,8.800000000000000044e-01,1.028019999999999932e-03
2.600000000000000000e+01,9.200000000000000400e-01,3.908930000000000130e-04
2.600000000000000000e+01,9.599999999999999645e-01,1.089179999999999923e-03
2.600000000000000000e+01,1.000000000000000000e+00,2.504580000000000174e-03
2.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.800000000000000000e+01,4.000000000000000083e-02,1.000000000000000000e+00
2.800000000000000000e+01,8.000000000000000167e-02,1.000000000000000000e+00
2.800000000000000000e+01,1.199999999999999956e-01,1.000000000000000000e+00
2.800000000000000000e+01,1.600000000000000033e-01,1.000000000000000000e+00
2.800000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
2.800000000000000000e+01,2.399999999999999911e-01,1.000000000000000000e+00
2.800000000000000000e+01,2.800000000000000266e-01,1.000000000000000000e+00
2.800000000000000000e+01,3.200000000000000067e-01,1.000000000000000000e+00
2.800000000000000000e+01,3.599999999999999867e-01,1.000000000000000000e+00
2.800000000000000000e+01,4.000000000000000222e-01,9.999730000000000008e-01
2.800000000000000000e+01,4.400000000000000022e-01,9.999730000000000008e-01
2.800000000000000000e+01,4.799999999999999822e-01,9.999730000000000008e-01
2.800000000000000000e+01,5.200000000000000178e-01,9.999730000000000008e-01
2.800000000000000000e+01,5.600000000000000533e-01,9.999730000000000008e-01
2.800000000000000000e+01,5.999999999999999778e-01,9.999730000000000008e-01
2.800000000000000000e+01,6.400000000000000133e-01,9.999630000000000463e-01
2.800000000000000000e+01,6.800000000000000488e-01,9.110620000000000263e-04
2.800000000000000000e+01,7.199999999999999734e-01,2.291940000000000123e-03
2.800000000000000000e+01,7.600000000000000089e-01,9.841270000000000052e-04
2.800000000000000000e+01,8.000000000000000444e-01,2.767200000000000042e-03
2.800000000000000000e+01,8.399999999999999689e-01,3.657520000000000042e-03
2.800000000000000000e+01,8.800000000000000044e-01,2.592999999999999819e-03
2.800000000000000000e+01,9.200000000000000400e-01,2.596680000000000082e-03
2.800000000000000000e+01,9.599999999999999645e-01,1.095229999999999988e-03
2.800000000000000000e+01,1.000000000000000000e+00,2.427129999999999999e-03
3.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,4.000000000000000083e-02,1.000000000000000000e+00
3.000000000000000000e+01,8.000000000000000167e-02,1.000000000000000000e+00
3.000000000000000000e+01,1.199999999999999956e-01,1.000000000000000000e+00
3.000000000000000000e+01,1.600000000000000033e-01,1.000000000000000000e+00
3.000000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
3.000000000000000000e+01,2.399999999999999911e-01,1.000000000000000000e+00
3.000000000000000000e+01,2.800000000000000266e-01,1.000000000000000000e+00
3.000000000000000000e+01,3.200000000000000067e-01,1.000000000000000000e+00
3.000000000000000000e+01,3.599999999999999867e-01,1.000000000000000000e+00
3.000000000000000000e+01,4.000000000000000222e-01,1.000000000000000000e+00
3.000000000000000000e+01,4.400000000000000022e-01,1.000000000000000000e+00
3.000000000000000000e+01,4.799999999999999822e-01,1.000000000000000000e+00
3.000000000000000000e+01,5.200000000000000178e-01,1.000000000000000000e+00
3.000000000000000000e+01,5.600000000000000533e-01,1.000000000000000000e+00
3.000000000000000000e+01,5.999999999999999778e-01,1.000000000000000000e+00
3.000000000000000000e+01,6.400000000000000133e-01,9.999869999999999592e-01
3.000000000000000000e+01,6.800000000000000488e-01,6.060190000000000021e-03
3.000000000000000000e+01,7.199999999999999734e-01,4.544150000000000272e-03
3.000000000000000000e+01,7.600000000000000089e-01,3.384069999999999873e-03
3.000000000000000000e+01,8.000000000000000444e-01,2.730579999999999813e-03
3.000000000000000000e+01,8.399999999999999689e-01,1.905210000000000063e-03
3.000000000000000000e+01,8.800000000000000044e-01,1.341479999999999929e-03
