T,k,N,epsilon,z,conversion,conversion_sd,m_psi,m_psi_sd,rho_paper
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,1.000000000000000056e-01,2.930224999999999844e-03,8.054627188765473272e-04,8.410543750000000207e-01,1.682205244426197149e-03,8.912592500000000584e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,1.250000000000000000e-01,4.104762500000000251e-03,1.042633239743846795e-03,8.052138749999999678e-01,2.037464505058918848e-03,8.654523750000000515e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,1.500000000000000222e-01,6.383227499999999735e-03,1.447198711241393272e-03,7.691147499999999582e-01,2.532465732739547226e-03,8.387489999999999668e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,1.750000000000000167e-01,1.316521125000000014e-01,3.252230277866604014e-01,7.665735000000000188e-01,8.457315708012795585e-02,7.115330124999998951e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,2.000000000000000111e-01,2.570768125000000293e-01,4.246539955492984464e-01,7.732311250000000191e-01,1.258213946686309037e-01,5.903149100000000260e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,3.334591249999999674e-01,6.463856119801824306e-04,9.597333750000000682e-04,5.237649996973684201e-04,3.332570000000000254e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,2.500000000000000139e-02,3.198703749999999846e-01,9.534486008039340247e-04,1.803426249999999856e-02,8.237352744321134543e-04,3.414762499999999812e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,5.000000000000000278e-02,3.037164999999999448e-01,1.229344134081262856e-03,3.795868750000000458e-02,1.192648570868111825e-03,3.521557499999999896e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,7.500000000000001110e-02,2.870418750000000019e-01,1.673437288748815931e-03,5.883475000000000510e-02,1.891786295409711568e-03,3.631117500000000109e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,1.000000000000000056e-01,2.675727500000000258e-01,1.672046108066399311e-03,7.980841250000000886e-02,1.910441078283690863e-03,3.751909999999999967e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,1.250000000000000000e-01,2.468672499999999825e-01,2.664572092757117126e-03,1.001456375000000093e-01,1.825044389828301208e-03,3.868922500000000486e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,1.500000000000000222e-01,2.261361249999999934e-01,4.354018214175843157e-03,1.244726249999999895e-01,3.250179261883101751e-03,4.002628750000000180e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,1.750000000000000167e-01,2.023013750000000055e-01,5.626259035484857014e-03,1.497867499999999685e-01,3.604280259288944986e-03,4.151110000000000078e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,2.000000000000000111e-01,1.742754999999999999e-01,5.541699784362194743e-03,1.796234999999999915e-01,5.904897226031964944e-03,4.337862499999999844e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,2.999999999999999889e-01,0.000000000000000000e+00,1.289379099999999889e-01,3.212637677920627821e-01,9.652877500000000000e-01,3.861509865000989188e-03,6.127032875000000267e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,2.999999999999999889e-01,2.500000000000000139e-02,3.602437800000000134e-01,4.600042903389574556e-01,9.288260000000000405e-01,3.244424572246980970e-02,6.014904875000000040e-01
